Nama Toko,Kode Makanan,Kode Makanan ,Nama Makanan,Kode + Nama Makanan ,Add Ons,Description ,Harga,Open Link,Wishlist,Photos,Step,Format Pemesanan
Coffee Potum,CP08 ,CP08  ,Hot Milk,CP08  Hot Milk,,,Rp. 10.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ACoffee%20Potum%20:%0ABHot%20Milk,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Coffee Potum,CP02 ,CP02  ,Black Coffee,CP02  Black Coffee,,,Rp. 10.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ACoffee%20Potum%20:%0ABlack%20Coffee,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Coffee Potum,CP04 ,CP04  ,Cappucino,CP04  Cappucino,,,Rp. 18.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ACoffee%20Potum%20:%0ACappucino,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Coffee Potum,CP06 ,CP06  ,Coffee Latte,CP06  Coffee Latte,,,Rp. 17.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ACoffee%20Potum%20:%0ACoffee%20Latte,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Coffee Potum,CP01 ,CP01  ,Espresso,CP01  Espresso,,,Rp. 8.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ACoffee%20Potum%20:%0AEspresso,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Coffee Potum,CP03 ,CP03  ,Ice Black Coffee,CP03  Ice Black Coffee,,,RP. 15.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ACoffee%20Potum%20:%0AIce%20Black%20Coffee,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Coffee Potum,CP05 ,CP05  ,Ice Cappucino,CP05  Ice Cappucino,,,Rp. 18.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ACoffee%20Potum%20:%0AIce%20Cappucino,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Coffee Potum,CP07 ,CP07  ,Ice Coffe Latte,CP07  Ice Coffe Latte,,,Rp. 19.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ACoffee%20Potum%20:%0AIce%20Coffee%20Latte,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
Coffee Potum,CP09 ,CP09  ,Ice Milk,CP09  Ice Milk,,,Rp. 12.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ACoffee%20Potum%20:%0AIce%20Milk,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
La Ding ,LD01 ,LD01  ,Siomay,LD01  Siomay,,4 Pcs,Rp. 20.000,https://wa.me/6281911050357?text=Nama:%0ADine-in%20/%20Bungkus%20(+7%20menit)%0ALa%20Ding%20:%0ASiomay%204pcs,,,https://firebasestorage.googleapis.com/v0/b/glide-prod.appspot.com/o/img-uploads%2FLLcL8B3UKk6JCrxOeXQE%2Fe0b446.jpeg?alt=media,"Berikut ini format pemesanan melalui WhatsApp. Untuk selengkapnya, bisa dilihat di tab ""How To""."
