Address,Merchants ID,Nama Toko,Food ID,Nama Makanan,Harga,Kategori,Description ,Latitude,Longtitude
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15345",CPO,Coffee Potum,CPO01,Hot Milk,10000,Minuman,,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15346",CPO,Coffee Potum,CPO02,Black Coffee,10000,Minuman,,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15347",CPO,Coffee Potum,CPO03,Cappucino,18000,Minuman,,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15348",CPO,Coffee Potum,CPO04,Coffee Latte,17000,Minuman,,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15349",CPO,Coffee Potum,CPO05,Espresso,8000,Minuman,,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15350",CPO,Coffee Potum,CPO06,Ice Black Coffee,15000,Minuman,,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15351",CPO,Coffee Potum,CPO07,Ice Cappucino,18000,Minuman,,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15352",CPO,Coffee Potum,CPO08,Ice Coffe Latte,19000,Minuman,,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15353",CPO,Coffee Potum,CPO09,Ice Milk,12000,Minuman,,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15354",LAD,La Ding ,LAD01,Siomay,20000,Makanan,4 Pcs,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15355",LAD,La Ding ,LAD02,Sop Iga + Nasi,25000,Makanan,,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15356",LAD,La Ding ,LAD03,Soto Mie + Nasi,22000,Makanan,,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15357",SFL,Salad Fella,SFL01,Chick-a-potle Bowl,35000,Makanan,,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15358",SFL,Salad Fella,SFL02,Chick-a-potle Cup,18000,Makanan,,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15359",SFL,Salad Fella,SFL03,Chick-A-Potle Wrap,35000,Makanan,,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15360",SFL,Salad Fella,SFL04,Happy Tempe-r Bowl,30000,Makanan,,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15361",SFL,Salad Fella,SFL05,Happy Tempe-r Cup,15000,Makanan,,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15362",SFL,Salad Fella,SFL06,Happy Tempe-r Wrap,30000,Makanan,,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15363",SFL,Salad Fella,SFL07,O-Fish-Ally Yum! Bowl,35000,Makanan,,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15364",SFL,Salad Fella,SFL08,O-Fish-Ally Yum! Cup,18000,Makanan,,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15365",SFL,Salad Fella,SFL09,O-Fish-Ally Yum! Wrap,35000,Makanan,,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15366",SFL,Salad Fella,SFL10,Sesame Street Bowl,30000,Makanan,,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15367",SFL,Salad Fella,SFL11,Sesame Street Cup,15000,Makanan,,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15368",SFL,Salad Fella,SFL12,Sesame Street Wrap,30000,Makanan,,-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15369",WKO,Warung Kokoh,WKO01,Mie Ayam,20000,Makanan,"Mie Kecil/ Mie Lebar/ Bihun/ Kwetiau, Extra Bakso/ Pangsit/ Bakso + Pangsit 5000",-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15370",WKO,Warung Kokoh,WKO02,Mie Dino (Ayam/ Yamin/ Rica),30000,Makanan,"Mie Kecil/ Mie Lebar/ Bihun/ Kwetiau, Extra Bakso/ Pangsit/ Bakso + Pangsit 5000",-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15371",WKO,Warung Kokoh,WKO03,Mie Rica,20000,Makanan,"Mie Kecil/ Mie Lebar/ Bihun/ Kwetiau, Extra Bakso/ Pangsit/ Bakso + Pangsit 5000",-6.301.721,106.652.312
"Green Eatery GOP9 BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15372",WKO,Warung Kokoh,WKO04,Mie Yamin,20000,Makanan,"Mie Kecil/ Mie Lebar/ Bihun/ Kwetiau, Extra Bakso/ Pangsit/ Bakso + Pangsit 5000",-6.301.721,106.652.312
" The Breeze BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15345",SPK,6Pack,SPK01,Maui ,75000,Makanan,(Salmon w/ Mixed Salad) ,-6.301.939,106.653.659
" The Breeze BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15346",SPK,6Pack,SPK02,Oahu ,60000,Makanan,(Tuna w/ Mixed Salad),-6.301.939,106.653.659
" The Breeze BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15347",SPK,6Pack,SPK03,Waikiki,55000,Makanan,(Tofu w/ Mixed Salad),-6.301.939,106.653.659
" The Breeze BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15348",SPK,6Pack,SPK04,Kailua,80000,Makanan,(Salmon & Tuna w/ Mixed Salad),-6.301.939,106.653.659
" The Breeze BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15349",SPK,6Pack,SPK05,Mauna kea ,75000,Makanan,(Salmon w/ Brown Rice),-6.301.939,106.653.659
" The Breeze BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15350",SPK,6Pack,SPK06,Honolulu,60000,Makanan,(Tuna w/ Brown Rice),-6.301.939,106.653.659
" The Breeze BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15351",SPK,6Pack,SPK07,Molokini ,55000,Makanan,(Tofu w/ Brown Rice),-6.301.939,106.653.659
" The Breeze BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15352",SPK,6Pack,SPK08,Kualoa,80000,Makanan,(Salmon & Tuna w/ Brown Rice),-6.301.939,106.653.659
" The Breeze BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15353",SPK,6Pack,SPK09,Core Flow ,75000,Makanan,"(Tortilla, Chicken Breast, Egg Whites, Cherry Tomatoes, Parmesan, Croutons, & Caesar Dressing)",-6.301.939,106.653.659
" The Breeze BSD City Sampora, Kec. Cisauk, Tangerang, Banten 15354",SPK,6Pack,SPK10,Yin & Yang,95000,Makanan,"(Tortilla, Beef Bulgogi, Bell Pepper, Carrot, Kyuri, Dry Chilli, & Bulgogi Dressing)",-6.301.939,106.653.659
